"SYMBOL","COMPANY NAME","INDUSTRY","SERIES","ISINCODE","BSE CODE","Action"
"JINDALSAW","JINDAL SAW LTD.","Construction & Engineering","EQ","INE324A01024","500227",""
"JINDALSTEL","JINDAL STEEL & POWER LTD.","Iron & Steel/Interm.Products","EQ","INE749A01030","500227",""
"JISLJALEQS","JAIN IRRIGATION SYSTEMS LTD.","Plastic Products","EQ","INE175A01038","500227",""
"JKCEMENT","J.K.CEMENT LTD.","Cement & Cement Products","EQ","INE823G01014","500227",""
"JKLAKSHMI","JK LAKSHMI CEMENT LTD.","Cement & Cement Products","EQ","INE786A01032","500227",""
"JKPAPER","JK PAPER LTD.","Paper & Paper Products","EQ","INE789E01012","500227",""
"JKTYRE","JK TYRE & INDUSTRIES LTD.","Auto Tyres & Rubber Products","EQ","INE573A01042","530007",""
"JMFINANCIL","JM FINANCIAL LTD.","Holding Companies","EQ","INE780C01023","523405",""
"JPASSOCIAT","JAIPRAKASH ASSOCIATES LTD.","Construction & Engineering","EQ","INE455F01025","523398",""
"JSL","JINDAL STAINLESS LTD.","Iron & Steel/Interm.Products","EQ","INE220G01021","523398",""
"JSLHISAR","Jindal Stainless (Hisar) Ltd","Iron & Steel Products","EQ","INE455T01018","523398",""
"JSWENERGY","JSW Energy Ltd","Electric Utilities","EQ","INE121E01018","533148",""
"JSWSTEEL","JSW STEEL LTD.","Iron & Steel/Interm.Products","EQ","INE019A01038","500228",""
"JUBILANT","JUBILANT LIFE SCIENCES LIMITED","Pharmaceuticals","EQ","INE700A01033","520057",""
"JUBLFOOD","Jubilant FoodWorks Ltd","Restaurants","EQ","INE797F01012","533155",""
"JUSTDIAL","JUST DIAL LTD.","Publishing","EQ","INE599M01018","535648",""
"JYOTHYLAB","Jyothy Labs Ltd","Household Products","EQ","INE668F01031","532926",""
"KAJARIACER","KAJARIA CERAMICS LTD.","Furniture-Furnishing-Paints","EQ","INE217B01036","532926",""
"KALPATPOWR","KALPATARU POWER TRANSMISSION LTD.","Heavy Electrical Equipment","EQ","INE220B01022","532926",""
"KANSAINER","KANSAI NEROLAC PAINTS LTD.","Furniture-Furnishing-Paints","EQ","INE531A01024","532926",""
